Name:,Black,Hex:,#000000,R/RGB:,0,G/RGB:,0,B/RGB:,0
Name:,White,Hex:,#FFFFFF,R/RGB:,255,G/RGB:,255,B/RGB:,255
Name:,Red,Hex:,#FF0000,R/RGB:,255,G/RGB:,0,B/RGB:,0
Name:,Lime,Hex:,#00FF00,R/RGB:,0,G/RGB:,255,B/RGB:,0
Name:,Blue,Hex:,#0000FF,R/RGB:,0,G/RGB:,0,B/RGB:,255
Name:,Yellow,Hex:,#FFFF00,R/RGB:,255,G/RGB:,255,B/RGB:,0
Name:,Cyan / Aqua,Hex:,#00FFFF,R/RGB:,0,G/RGB:,255,B/RGB:,255
Name:,Magenta / Fuchsia,Hex:,#FF00FF,R/RGB:,255,G/RGB:,0,B/RGB:,255
Name:,Silver,Hex:,#C0C0C0,R/RGB:,192,G/RGB:,192,B/RGB:,192
Name:,Gray,Hex:,#808080,R/RGB:,128,G/RGB:,128,B/RGB:,128
Name:,Maroon,Hex:,#800000,R/RGB:,128,G/RGB:,0,B/RGB:,0
Name:,Olive,Hex:,#808000,R/RGB:,128,G/RGB:,128,B/RGB:,0
Name:,Green,Hex:,#008000,R/RGB:,0,G/RGB:,128,B/RGB:,0
Name:,Purple,Hex:,#800080,R/RGB:,128,G/RGB:,0,B/RGB:,128
Name:,Teal,Hex:,#008080,R/RGB:,0,G/RGB:,128,B/RGB:,128
Name:,Navy,Hex:,#000080,R/RGB:,0,G/RGB:,0,B/RGB:,128
Name:,maroon,Hex:,#800000,R/RGB:,128,G/RGB:,0,B/RGB:,0
Name:,dark red,Hex:,#8B0000,R/RGB:,139,G/RGB:,0,B/RGB:,0
Name:,brown,Hex:,#A52A2A,R/RGB:,165,G/RGB:,42,B/RGB:,42
Name:,firebrick,Hex:,#B22222,R/RGB:,178,G/RGB:,34,B/RGB:,34
Name:,crimson,Hex:,#DC143C,R/RGB:,220,G/RGB:,20,B/RGB:,60
Name:,red,Hex:,#FF0000,R/RGB:,255,G/RGB:,0,B/RGB:,0
Name:,tomato,Hex:,#FF6347,R/RGB:,255,G/RGB:,99,B/RGB:,71
Name:,coral,Hex:,#FF7F50,R/RGB:,255,G/RGB:,127,B/RGB:,80
Name:,indian red,Hex:,#CD5C5C,R/RGB:,205,G/RGB:,92,B/RGB:,92
Name:,light coral,Hex:,#F08080,R/RGB:,240,G/RGB:,128,B/RGB:,128
Name:,dark salmon,Hex:,#E9967A,R/RGB:,233,G/RGB:,150,B/RGB:,122
Name:,salmon,Hex:,#FA8072,R/RGB:,250,G/RGB:,128,B/RGB:,114
Name:,light salmon,Hex:,#FFA07A,R/RGB:,255,G/RGB:,160,B/RGB:,122
Name:,orange red,Hex:,#FF4500,R/RGB:,255,G/RGB:,69,B/RGB:,0
Name:,dark orange,Hex:,#FF8C00,R/RGB:,255,G/RGB:,140,B/RGB:,0
Name:,orange,Hex:,#FFA500,R/RGB:,255,G/RGB:,165,B/RGB:,0
Name:,gold,Hex:,#FFD700,R/RGB:,255,G/RGB:,215,B/RGB:,0
Name:,dark golden rod,Hex:,#B8860B,R/RGB:,184,G/RGB:,134,B/RGB:,11
Name:,golden rod,Hex:,#DAA520,R/RGB:,218,G/RGB:,165,B/RGB:,32
Name:,pale golden rod,Hex:,#EEE8AA,R/RGB:,238,G/RGB:,232,B/RGB:,170
Name:,dark khaki,Hex:,#BDB76B,R/RGB:,189,G/RGB:,183,B/RGB:,107
Name:,khaki,Hex:,#F0E68C,R/RGB:,240,G/RGB:,230,B/RGB:,140
Name:,olive,Hex:,#808000,R/RGB:,128,G/RGB:,128,B/RGB:,0
Name:,yellow,Hex:,#FFFF00,R/RGB:,255,G/RGB:,255,B/RGB:,0
